utc,swell_ht_ft,swell_period_s,swell_dir,offshore_wvht_ft,nearshore_wvht_ft,nearshore_dpd_s,wind_kt,wind_dir_deg,tier
2026-08-12 20:20,1.3,4.8,SSW,2.0,2.0,3.0,12.1,190.0,
2026-08-12 22:02,1.6,5.0,SSW,2.3,2.0,3.0,12.1,170.0,
2026-08-12 23:01,1.3,5.3,SW,2.0,2.0,3.0,12.1,190.0,
2026-08-12 23:57,1.0,8.3,SSE,2.3,2.0,13.0,8.0,200.0,
2026-08-13 02:47,0.7,6.7,S,2.3,2.0,4.0,5.1,290.0,
2026-08-13 05:05,1.0,8.3,SE,2.3,1.6,5.0,4.1,290.0,
2026-08-13 06:45,2.0,4.5,SW,2.3,1.3,13.0,1.0,260.0,
2026-08-13 08:43,1.6,4.8,SW,2.3,1.3,5.0,1.9,300.0,
2026-08-13 10:28,1.6,5.0,SW,2.0,1.3,13.0,1.9,250.0,
2026-08-13 12:00,1.6,4.8,SW,2.0,1.3,13.0,1.9,170.0,
2026-08-13 13:47,1.6,4.8,SW,1.6,1.6,13.0,4.1,260.0,
2026-08-13 15:15,1.6,7.7,SE,1.6,1.3,5.0,6.0,200.0,
2026-08-13 16:12,1.6,5.0,SSW,1.6,1.3,5.0,8.0,180.0,
2026-08-13 17:15,1.6,5.6,SSW,2.0,1.3,4.0,11.1,180.0,
2026-08-13 19:20,2.0,5.3,SW,2.3,1.6,13.0,14.0,190.0,
2026-08-13 21:03,1.3,5.6,SW,2.3,1.6,13.0,15.0,190.0,
2026-08-13 22:02,1.0,6.2,S,2.6,2.0,3.0,15.9,190.0,
2026-08-13 23:03,1.3,7.7,SSE,2.6,2.3,3.0,17.1,190.0,
2026-08-13 23:59,1.0,7.7,SSE,2.3,2.3,3.0,4.1,80.0,
2026-08-14 02:46,0.7,7.7,SSE,2.3,2.3,5.0,8.9,240.0,
2026-08-14 05:02,1.0,7.7,SSE,2.3,2.0,4.0,7.0,270.0,
2026-08-14 06:42,1.0,7.7,SSE,2.3,2.0,4.0,5.1,290.0,
2026-08-14 08:37,1.0,7.1,SSE,2.3,1.6,4.0,2.9,260.0,
2026-08-14 10:16,1.0,12.1,ESE,2.3,1.6,4.0,6.0,210.0,HEADS_UP
2026-08-14 11:57,1.0,7.7,SE,2.3,1.6,4.0,5.1,270.0,
2026-08-14 13:43,1.0,7.1,SE,2.3,1.6,4.0,5.1,240.0,
2026-08-14 15:07,1.0,11.4,ESE,2.0,2.0,4.0,8.0,230.0,
2026-08-14 16:06,1.0,12.1,SSE,2.0,1.6,4.0,8.9,260.0,HEADS_UP
2026-08-14 17:11,1.3,12.9,SSE,2.0,2.0,4.0,11.1,180.0,HEADS_UP
2026-08-14 18:06,1.3,11.4,SE,2.0,2.0,4.0,13.0,190.0,
2026-08-14 19:14,1.0,12.1,SSE,1.6,2.0,5.0,15.0,190.0,HEADS_UP
2026-08-14 19:58,1.0,11.4,ESE,1.6,2.3,4.0,15.9,190.0,
2026-08-14 20:45,1.0,12.1,SE,2.0,2.3,3.0,19.0,190.0,HEADS_UP
2026-08-14 21:40,1.0,12.1,ESE,2.3,2.3,3.0,18.1,190.0,HEADS_UP
2026-08-14 22:40,1.0,12.1,ESE,2.3,2.3,4.0,15.9,200.0,HEADS_UP
2026-08-14 23:36,1.0,12.1,ESE,2.3,2.6,3.0,14.0,210.0,HEADS_UP
2026-08-15 01:50,1.0,12.9,SE,2.6,2.3,4.0,14.0,230.0,HEADS_UP
2026-08-15 03:05,0.7,12.1,S,3.0,2.6,4.0,11.1,230.0,HEADS_UP
2026-08-15 03:54,1.0,12.1,SE,3.0,2.6,4.0,8.9,240.0,HEADS_UP
2026-08-15 04:46,0.7,12.9,N,2.6,2.6,4.0,8.0,240.0,HEADS_UP
2026-08-15 05:41,1.0,12.1,E,3.0,2.6,4.0,8.0,230.0,HEADS_UP
2026-08-15 06:58,0.7,12.1,S,2.6,2.3,5.0,5.1,240.0,HEADS_UP
2026-08-15 07:44,1.0,12.1,SE,3.0,2.0,5.0,6.0,250.0,HEADS_UP
2026-08-15 08:45,1.0,12.1,SSE,3.0,2.0,5.0,6.0,270.0,HEADS_UP
2026-08-15 09:40,1.0,12.1,SE,3.0,2.0,5.0,5.1,280.0,HEADS_UP
2026-08-15 10:38,1.0,6.2,SE,2.6,2.0,5.0,5.1,260.0,
2026-08-15 11:33,1.0,11.4,SE,2.6,1.6,5.0,4.1,300.0,
2026-08-15 12:58,1.0,12.1,ESE,2.6,1.6,5.0,5.1,270.0,HEADS_UP
2026-08-15 13:44,1.0,12.9,ESE,2.3,1.6,5.0,5.1,280.0,HEADS_UP
2026-08-15 14:39,1.0,12.1,ESE,2.3,1.6,5.0,1.9,310.0,HEADS_UP
2026-08-15 15:35,1.0,6.7,SE,2.3,1.6,5.0,6.0,160.0,
2026-08-15 16:41,1.0,12.1,ESE,2.3,1.6,5.0,7.0,140.0,HEADS_UP
2026-08-15 17:35,0.7,11.4,ESE,2.0,1.6,5.0,8.9,150.0,
2026-08-15 18:47,0.7,12.1,SSE,2.3,1.6,4.0,8.0,220.0,HEADS_UP
2026-08-15 19:34,1.0,12.1,E,2.3,2.0,5.0,9.9,250.0,HEADS_UP
2026-08-15 20:38,1.3,4.8,SW,2.3,1.6,2.0,8.9,250.0,
2026-08-15 21:34,1.6,5.0,SSW,2.3,1.6,5.0,8.0,230.0,
2026-08-15 22:37,1.6,4.3,SSW,2.3,1.3,5.0,7.0,270.0,
2026-08-15 23:34,1.6,4.5,SW,2.0,1.3,12.0,4.1,300.0,
2026-08-16 01:57,1.6,4.3,SSW,2.0,1.3,6.0,1.9,330.0,
2026-08-16 03:13,1.6,4.3,SSW,2.0,1.3,4.0,1.9,230.0,
2026-08-16 04:02,1.6,5.3,S,2.0,1.3,4.0,1.9,280.0,
2026-08-16 04:50,1.6,5.0,S,2.0,1.3,5.0,1.0,310.0,
2026-08-16 05:43,1.6,4.8,SSW,2.0,1.3,5.0,1.0,340.0,
2026-08-16 06:59,1.6,5.3,S,2.0,1.3,5.0,0.0,,
2026-08-16 07:45,1.6,5.3,S,2.0,1.3,5.0,1.0,60.0,
2026-08-16 08:47,2.0,5.0,S,2.0,1.3,5.0,5.1,80.0,
2026-08-16 09:42,2.0,5.0,SSW,2.0,1.3,5.0,6.0,90.0,
2026-08-16 10:40,2.0,5.0,SSW,2.3,1.6,5.0,1.0,100.0,
2026-08-16 11:34,2.0,5.3,S,2.3,1.6,6.0,4.1,90.0,
2026-08-16 13:00,2.0,5.0,S,2.0,1.6,5.0,8.0,80.0,
2026-08-16 13:44,1.6,5.3,S,2.0,2.0,5.0,6.0,80.0,
